phase,url,primary_topic,primary_entity,search_intent,primary_query_theme,secondary_queries,related_entities,relevant_questions,competing_internal_url,content_gap,recommended_action
baseline,https://typescript.robertdevore.com/,Learn TypeScript.Build appsand libraries.,TypeScript,learning/reference,Learn TypeScript.Build appsand libraries.,"A free, self-guided TypeScript course: 36 lessons, five builds, verified examples, and a production capstone. JavaScript underneath. Types above it.",JavaScript; runtime; compiler,How do I use Learn TypeScript.Build appsand libraries.?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/research/,Sources & versions,TypeScript,learning/reference,Sources & versions,"The course's verified TypeScript baseline, evidence ledger, and release status.",JavaScript; runtime; compiler,How do I use Sources & versions?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/course/,Your TypeScriptlearning path.,TypeScript,learning/reference,Your TypeScriptlearning path.,"All 36 TypeScript lessons and five milestone builds in order, with local progress and clear checkpoints.",JavaScript; runtime; compiler,How do I use Your TypeScriptlearning path.?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/tracks/,Optional specialization tracks,TypeScript,learning/reference,Optional specialization tracks,"Continue into backend, frontend, library, type-level, tooling, or enterprise TypeScript.",JavaScript; runtime; compiler,How do I use Optional specialization tracks?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/about/,About the course,TypeScript,learning/reference,About the course,How to study this independent TypeScript course and verify your work.,JavaScript; runtime; compiler,How do I use About the course?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/builds/package-consumer/,Build 4: package & independent consumer,TypeScript,learning/reference,Build 4: package & independent consumer,Prepare a releasable package and prove its runtime and declaration contracts from a fresh install.,JavaScript; runtime; compiler,How do I use Build 4: package & independent consumer?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/builds/capstone/,Capstone: typed job execution platform,TypeScript,learning/reference,Capstone: typed job execution platform,"Design, implement, test, package, and operate a complete job system through explicit milestones.",JavaScript; runtime; compiler,How do I use Capstone: typed job execution platform?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/builds/data-utility/,Build 1: command-line data utility,TypeScript,learning/reference,Build 1: command-line data utility,"Parse a local job file, reject malformed input, and print an honest summary.",JavaScript; runtime; compiler,How do I use Build 1: command-line data utility?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/builds/library-cli/,Build 2: reusable library & CLI,TypeScript,learning/reference,Build 2: reusable library & CLI,"Extract domain behavior, preserve inference, and test both runtime and public type contracts.",JavaScript; runtime; compiler,How do I use Build 2: reusable library & CLI?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/builds/application/,Build 3: validated HTTP application,TypeScript,learning/reference,Build 3: validated HTTP application,"Build a bounded, observable Node service with a real external boundary and graceful lifecycle.",JavaScript; runtime; compiler,How do I use Build 3: validated HTTP application?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/generics/,Generics & type relationships,TypeScript,learning/reference,Generics & type relationships,Design reusable functions whose outputs retain useful information about their inputs.,JavaScript; runtime; compiler,How do I use Generics & type relationships?,,see content review,keep topic-specific verified examples
baseline,https://typescript.robertdevore.com/lessons/publishing/,Publishing typed packages,TypeScript,learning/reference,Publishing typed packages,"Test the tarball that consumers install, including exports, declarations, and compatibility.",JavaScript; runtime; compiler,How do I use Publishing typed packages?,,see content review,keep topic-specific verified examples
