phase,url,source_file,page_type,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,title,title_length,meta_description,description_length,h1,heading_structure,word_count,lang,published_date,modified_date,author,breadcrumbs,schema_types,internal_inbound_links,internal_outbound_links,external_outbound_links,broken_internal_links,broken_external_links,image_count,missing_alt,missing_dimensions,page_depth,orphan,sitemap_included,duplicate_title,duplicate_description,content_hash,issues
baseline,https://typescript.robertdevore.com/,scripts/build.mjs,home,200,200,True,,https://typescript.robertdevore.com/,200,Learn TypeScript. Build apps and libraries. · TypeScript Course,63,"A free, self-guided TypeScript course: 36 lessons, five builds, verified examples, and a production capstone. JavaScript underneath. Types above it.",148,Learn TypeScript.Build appsand libraries.,"[[""h1"", ""Learn TypeScript.Build appsand libraries.""], [""h2"", ""Start with the basics.Build at every stage.""], [""h3"", ""Foundations""], [""h3"", ""The type system""], [""h3"", ""Real applications""], [""h3"", ""Libraries & scale""], [""h3"", ""Advanced & production""], [""h2"", ""Types check your code.Validation checks your data.""], [""h2"", ""Build a jobexecution platform.""]]",348,en,,,,False,,148,31,2,0,0,0,0,0,0,False,True,False,False,1074ec07885e9297b304e2d857732b5e84cbb36c40e8b956d17a311d5b7cea98,"no structured data (opportunity, not search requirement)"
baseline,https://typescript.robertdevore.com/research/,scripts/build.mjs,research,200,200,True,,https://typescript.robertdevore.com/research/,200,Sources & versions · TypeScript Course,38,"The course's verified TypeScript baseline, evidence ledger, and release status.",79,Sources & versions,"[[""h1"", ""Sources & versions""], [""h2"", ""Stable teaching baseline""], [""h2"", ""Authoritative source ledger""], [""h2"", ""Contributor reference lenses""], [""h2"", ""Verification policy""]]",713,en,,,,False,,100,17,29,0,0,0,0,0,1,False,True,False,False,01a39d234104e6bc4442b387b3ed4445e1dc279049dd2312218600974c5d965d,"no structured data (opportunity, not search requirement)"
baseline,https://typescript.robertdevore.com/labs/browser/,labs/browser/index.html,labs,200,200,False,"noindex,follow",https://typescript.robertdevore.com/labs/browser/,200,Browser boundary lab · TypeScript Course,40,,0,Check the actual element.,"[[""h1"", ""Check the actual element.""]]",42,en,,,,False,,1,1,0,0,0,0,0,0,2,False,False,False,False,0b84ff98ed3c6a829232d891198f1c37b92d5b348df68750c74112c88f49dd62,
baseline,https://typescript.robertdevore.com/course/,scripts/build.mjs,course,200,200,True,,https://typescript.robertdevore.com/course/,200,The complete learning path · TypeScript Course,46,"All 36 TypeScript lessons and five milestone builds in order, with local progress and clear checkpoints.",104,Your TypeScriptlearning path.,"[[""h1"", ""Your TypeScriptlearning path.""], [""h2"", ""Foundations""], [""h2"", ""The type system""], [""h2"", ""Real applications""], [""h2"", ""Libraries & scale""], [""h2"", ""Advanced & production""]]",310,en,,,,False,,199,58,2,0,0,0,0,0,1,False,True,False,False,acd357178fd4eee35e652732e84641277ed4d8823c79e1014cbf26ffd8897ae3,"no structured data (opportunity, not search requirement)"
baseline,https://typescript.robertdevore.com/tracks/,scripts/build.mjs,tracks,200,200,True,,https://typescript.robertdevore.com/tracks/,200,Optional specialization tracks · TypeScript Course,50,"Continue into backend, frontend, library, type-level, tooling, or enterprise TypeScript.",88,Optional specialization tracks,"[[""h1"", ""Optional specialization tracks""], [""h2"", ""Backend TypeScript""], [""h2"", ""Frontend TypeScript""], [""h2"", ""Library engineering""], [""h2"", ""Type-level TypeScript""], [""h2"", ""Tooling & compiler APIs""], [""h2"", ""Monorepo & enterprise TypeScript""]]",529,en,,,,False,,51,27,2,0,0,0,0,0,1,False,True,False,False,6b730b6e4f4780b000fd2a41b6ee94e7fdfdd60c5520a324a95c145b5a946116,"no structured data (opportunity, not search requirement)"
baseline,https://typescript.robertdevore.com/about/,scripts/build.mjs,about,200,200,True,,https://typescript.robertdevore.com/about/,200,About the course · TypeScript Course,36,How to study this independent TypeScript course and verify your work.,69,About the course,"[[""h1"", ""About the course""], [""h2"", ""How to study""], [""h2"", ""Get the runnable course""], [""h2"", ""Find an answer""], [""h2"", ""Progress and privacy""], [""h2"", ""Versions and sources""], [""h2"", ""Author and references""]]",516,en,,,,False,,99,21,4,0,0,0,0,0,1,False,True,False,False,21c7a7f1612a1a8acbe10dd4e56620488264d24aa36418f2cf49993e98088ded,"no structured data (opportunity, not search requirement)"
baseline,https://typescript.robertdevore.com/builds/package-consumer/,content/builds/04-package-consumer.md,builds,200,200,True,,https://typescript.robertdevore.com/builds/package-consumer/,200,Build 4: package & independent consumer · TypeScript Course,59,Prepare a releasable package and prove its runtime and declaration contracts from a fresh install.,98,Build 4: package & independent consumer,"[[""h1"", ""Build 4: package & independent consumer""], [""h2"", ""The brief""], [""h2"", ""Milestone 1 \u2014 Define the support envelope""], [""h2"", ""Milestone 2 \u2014 Produce both artifacts""], [""h2"", ""Milestone 3 \u2014 Configure package exports""], [""h2"", ""Milestone 4 \u2014 Inspect the tarball""], [""h2"", ""Milestone 5 \u2014 Install outside the workspace""], [""h2"", ""Milestone 6 \u2014 Review compatibility""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Documentation and release notes""], [""h2"", ""Review rubric""], [""h2"", ""Completion checkpoint""]]",831,en,,,,False,,58,73,2,0,0,0,0,0,2,False,True,False,False,16d25977bde12bcd7b54c0d4f50c4a4677e823a570c3284aec237aed20225b0b,"no structured data (opportunity, not search requirement)"
baseline,https://typescript.robertdevore.com/builds/capstone/,content/builds/05-capstone.md,builds,200,200,True,,https://typescript.robertdevore.com/builds/capstone/,200,Capstone: typed job execution platform · TypeScript Course,58,"Design, implement, test, package, and operate a complete job system through explicit milestones.",96,Capstone: typed job execution platform,"[[""h1"", ""Capstone: typed job execution platform""], [""h2"", ""The brief""], [""h2"", ""Deliverables""], [""h2"", ""Milestone 1 \u2014 Model identity and state""], [""h2"", ""Milestone 2 \u2014 Establish runtime contracts""], [""h2"", ""Milestone 3 \u2014 Build the executor""], [""h2"", ""Milestone 4 \u2014 Persist and recover""], [""h2"", ""Milestone 5 \u2014 Expose HTTP and CLI adapters""], [""h2"", ""Milestone 6 \u2014 Package the owned contracts""], [""h2"", ""Milestone 7 \u2014 Own production lifecycle""], [""h2"", ""Milestone 8 \u2014 Release and defend the design""], [""h2"", ""Final review rubric""], [""h2"", ""Diagnostic challenge""], [""h2"", ""Completion checkpoint""]]",1343,en,,,,False,,59,74,2,0,0,0,0,0,1,False,True,False,False,977e207633f3c4c916e406aa96254d48df8c19ff72de615d046f384b2e4782f2,"no structured data (opportunity, not search requirement)"
baseline,https://typescript.robertdevore.com/builds/data-utility/,content/builds/01-data-utility.md,builds,200,200,True,,https://typescript.robertdevore.com/builds/data-utility/,200,Build 1: command-line data utility · TypeScript Course,54,"Parse a local job file, reject malformed input, and print an honest summary.",76,Build 1: command-line data utility,"[[""h1"", ""Build 1: command-line data utility""], [""h2"", ""The brief""], [""h2"", ""Inputs and outputs""], [""h2"", ""Milestone 1 \u2014 Own the toolchain""], [""h2"", ""Milestone 2 \u2014 Parse unknown input""], [""h2"", ""Milestone 3 \u2014 Model outcomes""], [""h2"", ""Milestone 4 \u2014 Verify the process boundary""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Compare after implementation""], [""h2"", ""Review questions""], [""h2"", ""Completion checkpoint""]]",881,en,,,,False,,57,72,2,0,0,0,0,0,2,False,True,False,False,938e26414750397b76bb2a52c906e4d8e4bdb346772920876ebb56449f83c602,"no structured data (opportunity, not search requirement)"
baseline,https://typescript.robertdevore.com/builds/library-cli/,content/builds/02-library-cli.md,builds,200,200,True,,https://typescript.robertdevore.com/builds/library-cli/,200,Build 2: reusable library & CLI · TypeScript Course,51,"Extract domain behavior, preserve inference, and test both runtime and public type contracts.",93,Build 2: reusable library & CLI,"[[""h1"", ""Build 2: reusable library & CLI""], [""h2"", ""The brief""], [""h2"", ""Public domain contract""], [""h2"", ""Milestone 1 \u2014 Separate ownership""], [""h2"", ""Milestone 2 \u2014 Use precise results""], [""h2"", ""Milestone 3 \u2014 Add one justified generic""], [""h2"", ""Milestone 4 \u2014 Test runtime contracts""], [""h2"", ""Milestone 5 \u2014 Test type contracts""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Type-checker drill""], [""h2"", ""Compare after implementation""], [""h2"", ""Review rubric""], [""h2"", ""Completion checkpoint""]]",875,en,,,,False,,58,73,2,0,0,0,0,0,2,False,True,False,False,607f557349c6a76e875a190a23042f070637ecd4d28bffb9cee867373d162f52,"no structured data (opportunity, not search requirement)"
