phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action,author,breadcrumbs,broken_external_links,broken_internal_links,canonical,canonical_target_status,content_hash,description_length,duplicate_description,duplicate_title,external_outbound_links,image_count,indexable,internal_inbound_links,internal_outbound_links,issues,lang,local_status,meta_description,missing_alt,missing_dimensions,orphan,page_depth,production_status,robots_directives,schema_types,sitemap_included,title,title_length
baseline,https://typescript.robertdevore.com/,scripts/build.mjs,home,"A free, self-guided TypeScript course: 36 lessons, five builds, verified examples, and a production capstone. JavaScript underneath. Types above it.",navigate course/reference,developers with basic programming familiarity,Learn TypeScript.Build appsand libraries.,Learn TypeScript.Build appsand libraries.,Start with the basics.Build at every stage.;Types check your code.Validation checks your data.;Build a jobexecution platform.,Learn TypeScript.Build appsand libraries.,"[[""h1"", ""Learn TypeScript.Build appsand libraries.""], [""h2"", ""Start with the basics.Build at every stage.""], [""h3"", ""Foundations""], [""h3"", ""The type system""], [""h3"", ""Real applications""], [""h3"", ""Libraries & scale""], [""h3"", ""Advanced & production""], [""h2"", ""Types check your code.Validation checks your data.""], [""h2"", ""Build a jobexecution platform.""]]",348,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/,200,1074ec07885e9297b304e2d857732b5e84cbb36c40e8b956d17a311d5b7cea98,148,False,False,2,0,True,148,31,"no structured data (opportunity, not search requirement)",en,200,"A free, self-guided TypeScript course: 36 lessons, five builds, verified examples, and a production capstone. JavaScript underneath. Types above it.",0,0,False,0,200,,,True,Learn TypeScript. Build apps and libraries. · TypeScript Course,63
baseline,https://typescript.robertdevore.com/research/,scripts/build.mjs,research,"The course's verified TypeScript baseline, evidence ledger, and release status.",navigate course/reference,developers with basic programming familiarity,Sources & versions,Sources & versions,Stable teaching baseline;Authoritative source ledger;Contributor reference lenses;Verification policy,Sources & versions,"[[""h1"", ""Sources & versions""], [""h2"", ""Stable teaching baseline""], [""h2"", ""Authoritative source ledger""], [""h2"", ""Contributor reference lenses""], [""h2"", ""Verification policy""]]",713,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/research/,200,01a39d234104e6bc4442b387b3ed4445e1dc279049dd2312218600974c5d965d,79,False,False,29,0,True,100,17,"no structured data (opportunity, not search requirement)",en,200,"The course's verified TypeScript baseline, evidence ledger, and release status.",0,0,False,1,200,,,True,Sources & versions · TypeScript Course,38
baseline,https://typescript.robertdevore.com/course/,scripts/build.mjs,course,"All 36 TypeScript lessons and five milestone builds in order, with local progress and clear checkpoints.",navigate course/reference,developers with basic programming familiarity,Your TypeScriptlearning path.,Your TypeScriptlearning path.,Foundations;The type system;Real applications;Libraries & scale;Advanced & production,Your TypeScriptlearning path.,"[[""h1"", ""Your TypeScriptlearning path.""], [""h2"", ""Foundations""], [""h2"", ""The type system""], [""h2"", ""Real applications""], [""h2"", ""Libraries & scale""], [""h2"", ""Advanced & production""]]",310,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/course/,200,acd357178fd4eee35e652732e84641277ed4d8823c79e1014cbf26ffd8897ae3,104,False,False,2,0,True,199,58,"no structured data (opportunity, not search requirement)",en,200,"All 36 TypeScript lessons and five milestone builds in order, with local progress and clear checkpoints.",0,0,False,1,200,,,True,The complete learning path · TypeScript Course,46
baseline,https://typescript.robertdevore.com/tracks/,scripts/build.mjs,tracks,"Continue into backend, frontend, library, type-level, tooling, or enterprise TypeScript.",navigate course/reference,developers with basic programming familiarity,Optional specialization tracks,Optional specialization tracks,Backend TypeScript;Frontend TypeScript;Library engineering;Type-level TypeScript;Tooling & compiler APIs;Monorepo & enterprise TypeScript,Optional specialization tracks,"[[""h1"", ""Optional specialization tracks""], [""h2"", ""Backend TypeScript""], [""h2"", ""Frontend TypeScript""], [""h2"", ""Library engineering""], [""h2"", ""Type-level TypeScript""], [""h2"", ""Tooling & compiler APIs""], [""h2"", ""Monorepo & enterprise TypeScript""]]",529,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/tracks/,200,6b730b6e4f4780b000fd2a41b6ee94e7fdfdd60c5520a324a95c145b5a946116,88,False,False,2,0,True,51,27,"no structured data (opportunity, not search requirement)",en,200,"Continue into backend, frontend, library, type-level, tooling, or enterprise TypeScript.",0,0,False,1,200,,,True,Optional specialization tracks · TypeScript Course,50
baseline,https://typescript.robertdevore.com/about/,scripts/build.mjs,about,How to study this independent TypeScript course and verify your work.,navigate course/reference,developers with basic programming familiarity,About the course,About the course,How to study;Get the runnable course;Find an answer;Progress and privacy;Versions and sources;Author and references,About the course,"[[""h1"", ""About the course""], [""h2"", ""How to study""], [""h2"", ""Get the runnable course""], [""h2"", ""Find an answer""], [""h2"", ""Progress and privacy""], [""h2"", ""Versions and sources""], [""h2"", ""Author and references""]]",516,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/about/,200,21c7a7f1612a1a8acbe10dd4e56620488264d24aa36418f2cf49993e98088ded,69,False,False,4,0,True,99,21,"no structured data (opportunity, not search requirement)",en,200,How to study this independent TypeScript course and verify your work.,0,0,False,1,200,,,True,About the course · TypeScript Course,36
baseline,https://typescript.robertdevore.com/builds/package-consumer/,content/builds/04-package-consumer.md,builds,Prepare a releasable package and prove its runtime and declaration contracts from a fresh install.,learn and practice,developers with basic programming familiarity,Build 4: package & independent consumer,Build 4: package & independent consumer,The brief;Milestone 1 — Define the support envelope;Milestone 2 — Produce both artifacts;Milestone 3 — Configure package exports;Milestone 4 — Inspect the tarball;Milestone 5 — Install outside the workspace;Milestone 6 — Review compatibility;Type-checker drill;Runtime-boundary drill;Documentation and release notes;Review rubric;Completion checkpoint,Build 4: package & independent consumer,"[[""h1"", ""Build 4: package & independent consumer""], [""h2"", ""The brief""], [""h2"", ""Milestone 1 \u2014 Define the support envelope""], [""h2"", ""Milestone 2 \u2014 Produce both artifacts""], [""h2"", ""Milestone 3 \u2014 Configure package exports""], [""h2"", ""Milestone 4 \u2014 Inspect the tarball""], [""h2"", ""Milestone 5 \u2014 Install outside the workspace""], [""h2"", ""Milestone 6 \u2014 Review compatibility""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Documentation and release notes""], [""h2"", ""Review rubric""], [""h2"", ""Completion checkpoint""]]",831,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/builds/package-consumer/,200,16d25977bde12bcd7b54c0d4f50c4a4677e823a570c3284aec237aed20225b0b,98,False,False,2,0,True,58,73,"no structured data (opportunity, not search requirement)",en,200,Prepare a releasable package and prove its runtime and declaration contracts from a fresh install.,0,0,False,2,200,,,True,Build 4: package & independent consumer · TypeScript Course,59
baseline,https://typescript.robertdevore.com/builds/capstone/,content/builds/05-capstone.md,builds,"Design, implement, test, package, and operate a complete job system through explicit milestones.",learn and practice,developers with basic programming familiarity,Capstone: typed job execution platform,Capstone: typed job execution platform,The brief;Deliverables;Milestone 1 — Model identity and state;Milestone 2 — Establish runtime contracts;Milestone 3 — Build the executor;Milestone 4 — Persist and recover;Milestone 5 — Expose HTTP and CLI adapters;Milestone 6 — Package the owned contracts;Milestone 7 — Own production lifecycle;Milestone 8 — Release and defend the design;Final review rubric;Diagnostic challenge;Completion checkpoint,Capstone: typed job execution platform,"[[""h1"", ""Capstone: typed job execution platform""], [""h2"", ""The brief""], [""h2"", ""Deliverables""], [""h2"", ""Milestone 1 \u2014 Model identity and state""], [""h2"", ""Milestone 2 \u2014 Establish runtime contracts""], [""h2"", ""Milestone 3 \u2014 Build the executor""], [""h2"", ""Milestone 4 \u2014 Persist and recover""], [""h2"", ""Milestone 5 \u2014 Expose HTTP and CLI adapters""], [""h2"", ""Milestone 6 \u2014 Package the owned contracts""], [""h2"", ""Milestone 7 \u2014 Own production lifecycle""], [""h2"", ""Milestone 8 \u2014 Release and defend the design""], [""h2"", ""Final review rubric""], [""h2"", ""Diagnostic challenge""], [""h2"", ""Completion checkpoint""]]",1343,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/builds/capstone/,200,977e207633f3c4c916e406aa96254d48df8c19ff72de615d046f384b2e4782f2,96,False,False,2,0,True,59,74,"no structured data (opportunity, not search requirement)",en,200,"Design, implement, test, package, and operate a complete job system through explicit milestones.",0,0,False,1,200,,,True,Capstone: typed job execution platform · TypeScript Course,58
baseline,https://typescript.robertdevore.com/builds/data-utility/,content/builds/01-data-utility.md,builds,"Parse a local job file, reject malformed input, and print an honest summary.",learn and practice,developers with basic programming familiarity,Build 1: command-line data utility,Build 1: command-line data utility,The brief;Inputs and outputs;Milestone 1 — Own the toolchain;Milestone 2 — Parse unknown input;Milestone 3 — Model outcomes;Milestone 4 — Verify the process boundary;Type-checker drill;Runtime-boundary drill;Compare after implementation;Review questions;Completion checkpoint,Build 1: command-line data utility,"[[""h1"", ""Build 1: command-line data utility""], [""h2"", ""The brief""], [""h2"", ""Inputs and outputs""], [""h2"", ""Milestone 1 \u2014 Own the toolchain""], [""h2"", ""Milestone 2 \u2014 Parse unknown input""], [""h2"", ""Milestone 3 \u2014 Model outcomes""], [""h2"", ""Milestone 4 \u2014 Verify the process boundary""], [""h2"", ""Type-checker drill""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Compare after implementation""], [""h2"", ""Review questions""], [""h2"", ""Completion checkpoint""]]",881,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/builds/data-utility/,200,938e26414750397b76bb2a52c906e4d8e4bdb346772920876ebb56449f83c602,76,False,False,2,0,True,57,72,"no structured data (opportunity, not search requirement)",en,200,"Parse a local job file, reject malformed input, and print an honest summary.",0,0,False,2,200,,,True,Build 1: command-line data utility · TypeScript Course,54
baseline,https://typescript.robertdevore.com/builds/library-cli/,content/builds/02-library-cli.md,builds,"Extract domain behavior, preserve inference, and test both runtime and public type contracts.",learn and practice,developers with basic programming familiarity,Build 2: reusable library & CLI,Build 2: reusable library & CLI,The brief;Public domain contract;Milestone 1 — Separate ownership;Milestone 2 — Use precise results;Milestone 3 — Add one justified generic;Milestone 4 — Test runtime contracts;Milestone 5 — Test type contracts;Runtime-boundary drill;Type-checker drill;Compare after implementation;Review rubric;Completion checkpoint,Build 2: reusable library & CLI,"[[""h1"", ""Build 2: reusable library & CLI""], [""h2"", ""The brief""], [""h2"", ""Public domain contract""], [""h2"", ""Milestone 1 \u2014 Separate ownership""], [""h2"", ""Milestone 2 \u2014 Use precise results""], [""h2"", ""Milestone 3 \u2014 Add one justified generic""], [""h2"", ""Milestone 4 \u2014 Test runtime contracts""], [""h2"", ""Milestone 5 \u2014 Test type contracts""], [""h2"", ""Runtime-boundary drill""], [""h2"", ""Type-checker drill""], [""h2"", ""Compare after implementation""], [""h2"", ""Review rubric""], [""h2"", ""Completion checkpoint""]]",875,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/builds/library-cli/,200,607f557349c6a76e875a190a23042f070637ecd4d28bffb9cee867373d162f52,93,False,False,2,0,True,58,73,"no structured data (opportunity, not search requirement)",en,200,"Extract domain behavior, preserve inference, and test both runtime and public type contracts.",0,0,False,2,200,,,True,Build 2: reusable library & CLI · TypeScript Course,51
baseline,https://typescript.robertdevore.com/builds/application/,content/builds/03-application.md,builds,"Build a bounded, observable Node service with a real external boundary and graceful lifecycle.",learn and practice,developers with basic programming familiarity,Build 3: validated HTTP application,Build 3: validated HTTP application,The brief;Observable contract;Milestone 1 — Parse startup configuration;Milestone 2 — Build a trustworthy client;Milestone 3 — Own application concurrency;Milestone 4 — Make errors and logs useful;Milestone 5 — Shut down gracefully;Milestone 6 — Test both seams and real HTTP;Type-checker and runtime drills;Production review;Completion checkpoint,Build 3: validated HTTP application,"[[""h1"", ""Build 3: validated HTTP application""], [""h2"", ""The brief""], [""h2"", ""Observable contract""], [""h2"", ""Milestone 1 \u2014 Parse startup configuration""], [""h2"", ""Milestone 2 \u2014 Build a trustworthy client""], [""h2"", ""Milestone 3 \u2014 Own application concurrency""], [""h2"", ""Milestone 4 \u2014 Make errors and logs useful""], [""h2"", ""Milestone 5 \u2014 Shut down gracefully""], [""h2"", ""Milestone 6 \u2014 Test both seams and real HTTP""], [""h2"", ""Type-checker and runtime drills""], [""h2"", ""Production review""], [""h2"", ""Completion checkpoint""]]",933,,,owned curriculum and project briefs,human review notes in methodology.md,,preserve technical meaning; distinguish introductory versus advanced lessons,,False,0,0,https://typescript.robertdevore.com/builds/application/,200,a3967d6918135923255dcb4868caeae5bca6ae156bcdc6eb712da6b7e139684c,94,False,False,2,0,True,57,72,"no structured data (opportunity, not search requirement)",en,200,"Build a bounded, observable Node service with a real external boundary and graceful lifecycle.",0,0,False,2,200,,,True,Build 3: validated HTTP application · TypeScript Course,55
